masked
"for idx, elem in enumerate(numbers):    in enumerate(numbers): if idx != idx2: distance = abs(elem - elem2) if distance < threshold: return True return False"
result = [] current_string = [] current_depth = 0 for c in paren_string: if c == '(': current_depth += 1 current_string.append(c) elif c ==     current_string.append(c) if current_depth == 0: result.append(''.join(current_string)) current_string.clear() return result
return  % 1.0
balance = 0 for op in operations: balance += op if balance < 0: return True  
mean = sum(numbers) / len(numbers) return sum(abs(x - mean)   in numbers) / len(numbers)
if not numbers: return [] result = [] for n   result.append(n) result.append(delimeter) result.append(numbers[-1]) return result
"def parse_paren_group(s): depth = 0 max_depth = 0 for c in s: if c == '(': depth += 1 max_depth = max(depth, max_depth) else:     max_depth return [parse_paren_group(x) for x in paren_string.split(' ') if x]"
return [x for  in strings if substring in x]
"sum_value = 0 prod_value = 1 for n in   += n prod_value *= n return sum_value, prod_value"
running_max = None result = [] for n in numbers: if running_max is None: running_max = n else: running_max =   result.append(running_max) return result
if not string: return '' beginning_of_suffix = 0 while not   += 1 return string + string[:beginning_of_suffix][::-1]
"def xor(i, j): if i == j: return '0' else: return '1' return ''.join(xor(x, y) for x,   zip(a, b))"
if not strings: return None maxlen   for x in strings) for s in strings: if len(s) == maxlen: return s
"while b: a,  = b, a % b return a"
result = [] for  in range(len(string)): result.append(string[:i+1]) return result
return ' '.join([str(x) for x in  + 1)])
return 
"note_map = {'o': 4, 'o|': 2, '.|': 1} return [note_map[x] for x in music_string.split(' ')  "
times = 0 for i in range(len(string) - len(substring) + 1): if   substring: times += 1 return times
"value_map = { 'zero': 0, 'one': 1, 'two': 2, 'three': 3, 'four': 4, 'five': 5, 'six': 6, 'seven': 7, 'eight': 8, 'nine': 9     for x in numbers.split(' ') if x], key=lambda x: value_map[x]))"
"closest_pair = None distance = None for idx, elem in enumerate(numbers): for idx2, elem2 in enumerate(numbers): if idx != idx2: if distance is None: distance = abs(elem - elem2) closest_pair = tuple(sorted([elem, elem2])) else: new_distance = abs(elem - elem2) if new_distance <      = tuple(sorted([elem, elem2])) return closest_pair"
min_number = min(numbers) max_number = max(numbers)   - min_number) / (max_number - min_number) for x in numbers]
" [x for x in values if isinstance(x, int)]"
return 
for i in reversed(range(n)):  n % i == 0: return i
import math fact = [] i = 2 while i <= int(math.sqrt(n) + 1): if n % i == 0: fact.append(i) n //= i else:     n > 1: fact.append(n) return fact
  c = collections.Counter(numbers) return [n for n in numbers if c[n] <= 1]
return 
return 
return [x for x in strings if 
return [e for e in  if e > 0]
"if n < 2:   for k in range(2, n - 1): if n % k == 0: return False return True"
"begin, end = -1., 1. while poly(xs, begin) * poly(xs, end) > 0: begin *= 2.0 end *= 2.0 while end - begin > 1e-10: center = (begin + end) / 2.0 if poly(xs,      0: begin = center else: end = center return begin"
l = list(l) l[::3] =  return l
return 
m = l[0]   in l: if e > m: m = e return m
ns = [] for i in range(n): if i % 11 == 0 or i % 13 == 0: ns.append(i) s     = 0 for c in s: ans += (c == '7') return ans
"evens = l[::2] odds = l[1::2] evens.sort() ans =   e, o in zip(evens, odds): ans.extend([e, o]) if len(evens) > len(odds): ans.append(evens[-1]) return ans"
return 
"import math def is_prime(p): if p < 2: return False for k in range(2, min(int(math.sqrt(p)) + 1, p - 1)): if p % k == 0: return False      1] while True: f.append(f[-1] + f[-2]) if is_prime(f[-1]): n -= 1 if n == 0: return f[-1]"
"for i in range(len(l)): for j in range(i + 1, len(l)): for k in range(j + 1, len(l)):    l[j] + l[k] == 0: return True return False"
 n**2
return  + 1) for e in l]
"for i, l1 in enumerate(l): for j in range(i +   if l1 + l[j] == 0: return True return False"
"ret = """" while x > 0: ret = str(x   + ret x //= base return ret"
return a * h  2.0
"results = [0, 0, 2, 0]    4: return results[n] for _ in range(4, n + 1): results.append(results[-1] + results[-2] + results[-3] + results[-4]) results.pop(0) return results[-1]"
l = sorted(l) if len(l) % 2 == 1: return l[len(l) // 2]    // 2 - 1] + l[len(l) // 2]) / 2.0
for i in range(len(text)): if text[i] != text[len(text) - 1   return False return True
ret = 1 for i in range(n): ret =   ret) % p return ret
